@relation 'poor performance'

@attribute ctr real
@attribute cpc real
@attribute cpm real
@attribute cpuv real
@attribute order_rate_uv real
@attribute paid_rate_uv real
@attribute gmv_per_uv real
@attribute roi real

@data
0.02046076,0.02954927,0.60460063,0.12250401,0.02982221,0.0229031,0.14535763,1.18655404
0.02744357,0.03052732,0.8377788,0.07508449,0.02180327,0.01549987,0.10512961,1.40015081
0.03737312,0.02261313,0.84512332,0.05314361,0.02324484,0.01722298,0.11965015,2.25144918
0.01918676,0.04353707,0.83533537,0.09342923,0.04085211,0.02147072,0.11682139,1.25037309
0.04250205,0.02230235,0.94789574,0.0562768,0.0235834,0.01932695,0.12337071,2.19221251
0.01987336,0.0410854,0.81650488,0.12444392,0.02493977,0.020087,0.12936221,1.03952208
0.01619275,0.04334662,0.70190088,0.14056161,0.0469971,0.02472844,0.19858029,1.41276331
0.01788606,0.05581531,0.99831615,0.14819026,0.02797695,0.01988549,0.31673578,2.137359
0.05419266,0.02917575,1.58111136,0.05601328,0.01781833,0.01487991,0.14355736,2.56291635
0.04906528,0.01361892,0.66821602,0.05294388,0.01793709,0.01377776,0.09872592,1.86472774
0.02402625,0.02651333,0.63701603,0.09949967,0.03056446,0.01793569,0.21826234,2.19359853
0.04103918,0.01504013,0.61723463,0.06620426,0.01921051,0.01144904,0.06720763,1.01515569
0.02029934,0.02890044,0.5866597,0.10994948,0.03645833,0.01818239,0.17907965,1.62874494
0.015463,0.03968771,0.61369116,0.16336124,0.05001804,0.03648502,0.18986214,1.1622227
0.01715951,0.04332313,0.74340349,0.12086832,0.0335396,0.0209901,0.24222797,2.00406506
0.01231979,0.053693,0.6614866,0.24604878,0.02963191,0.02227897,0.14249163,0.57911944
0.03955219,0.02757567,1.09067817,0.13065079,0.01700105,0.0130707,0.13630501,1.04327735
0.02379888,0.0401585,0.95572732,0.11032658,0.04435223,0.0258407,0.27921265,2.53078321
0.04689402,0.01320742,0.61934911,0.07574735,0.01958681,0.01461955,0.12551422,1.65701149
0.0165645,0.03549372,0.58793563,0.22334849,0.02784179,0.01656805,0.20771037,0.92998332
0.01902537,0.03694136,0.70282295,0.14180691,0.03513545,0.02417506,0.22525477,1.58846117
0.0281041,0.03547654,0.99703648,0.08815122,0.02110306,0.01494045,0.20769239,2.35609212
0.01476165,0.05517149,0.81442225,0.12066107,0.04403285,0.02668727,0.2318199,1.92124852
0.04661704,0.01988615,0.92703331,0.0533648,0.02557501,0.01999657,0.16321404,3.05845868
0.01817363,0.04321244,0.78532705,0.13546505,0.03397976,0.01935858,0.1907832,1.4083574
0.03126633,0.03059464,0.95658213,0.0660659,0.02586331,0.02009196,0.14204248,2.15001196
0.0386239,0.0342041,1.32109569,0.0567898,0.03997213,0.03309986,0.23530087,4.14336487
0.01554036,0.05290982,0.82223754,0.13586833,0.05871538,0.04319024,0.23960137,1.76348211
0.04365372,0.02858521,1.24785068,0.05781503,0.02727755,0.02079827,0.31973137,5.53024671
0.03190845,0.02668527,0.85148566,0.11882882,0.0257761,0.01595663,0.2090247,1.7590404
0.02397048,0.03303822,0.79194212,0.11215649,0.02783717,0.01797735,0.11384296,1.01503672
0.04155898,0.01485945,0.61754353,0.07253188,0.02319543,0.01748312,0.11519416,1.58818663
0.04336389,0.01901302,0.82447846,0.0589383,0.01629358,0.01072536,0.0771688,1.30931502
0.01655757,0.0447854,0.74153724,0.15293122,0.04843685,0.03201334,0.19750521,1.29146429
0.02861556,0.01907728,0.545907,0.0953268,0.02811639,0.02254211,0.13507504,1.41696815
0.02555478,0.01975841,0.50492164,0.11991925,0.03290318,0.02580937,0.13627349,1.13637708
0.01696952,0.04660005,0.79078062,0.13707641,0.03020374,0.02060031,0.22287086,1.62588776
0.02165352,0.04382967,0.94906677,0.06778415,0.02682605,0.01651141,0.16958362,2.50181806
0.02273867,0.04082677,0.92834626,0.10086274,0.03295331,0.02302568,0.27396144,2.71618078
0.01672074,0.0527383,0.88182344,0.14163979,0.03309792,0.02508696,0.29747444,2.10021805
0.02928805,0.03577431,1.04775954,0.07292221,0.02342085,0.01867192,0.1410596,1.93438468
0.04860369,0.02753036,1.33807705,0.05470253,0.01914649,0.01648954,0.10574148,1.93302722
0.02350789,0.0296015,0.6958687,0.08563028,0.04476711,0.02767275,0.16491875,1.92593967
0.01977381,0.05042818,0.99715711,0.10900413,0.02691855,0.01858949,0.23588376,2.16398907
0.03563623,0.01593542,0.56787837,0.07497467,0.02606319,0.01446474,0.07432876,0.99138491
0.02425117,0.04143876,1.00493816,0.13417042,0.04208896,0.02580706,0.22993478,1.71375164
0.0508512,0.0161666,0.82209093,0.03446886,0.02423548,0.01884982,0.13548657,3.93069449
0.01645736,0.04137715,0.68095849,0.12747938,0.05240273,0.04043393,0.21067913,1.6526526
0.01172876,0.0652057,0.76478175,0.09077963,0.03154568,0.0213141,0.18061471,1.98959517
0.0439157,0.01589784,0.69816468,0.05984047,0.02037503,0.01584103,0.11388133,1.90308218
0.03501669,0.03983042,1.39472942,0.08206779,0.05030169,0.02278045,0.12870398,1.56826426
0.04459007,0.02091847,0.93275606,0.09655967,0.0158056,0.0135775,0.10459894,1.08325702
0.02541977,0.02914263,0.7407989,0.1084637,0.03304788,0.01931145,0.19217254,1.77176816
0.02005329,0.06170453,1.23737863,0.08346069,0.02884776,0.01838235,0.21427661,2.56739575
0.02327639,0.02886012,0.6717594,0.1041245,0.05361001,0.03934053,0.21255259,2.04133111
0.05269754,0.01622653,0.85509808,0.06301394,0.02338351,0.01826259,0.1527943,2.42476966
0.01805304,0.02998483,0.54131722,0.13484666,0.06679595,0.04302234,0.12415428,0.92070712
0.03165503,0.01852422,0.58638475,0.06648638,0.02615429,0.02018927,0.07308001,1.0991727
0.04867387,0.02134826,1.03910261,0.04245607,0.01863294,0.01618717,0.16171043,3.80888818
0.02319574,0.03425757,0.79462977,0.09663059,0.05250367,0.04076486,0.21773248,2.25324583
0.06325067,0.01267694,0.80182507,0.03606935,0.02968728,0.02255674,0.14132544,3.91815903
0.03769389,0.01903333,0.71744043,0.06085966,0.02856689,0.0244859,0.13762349,2.26132544
0.03901417,0.0243622,0.95047077,0.05241881,0.01988616,0.01583595,0.10728381,2.04666606
0.03360259,0.02379226,0.7994816,0.08506597,0.01440992,0.01015383,0.06366267,0.7483918
0.01821048,0.04086771,0.74422063,0.12276866,0.04963084,0.03722313,0.19364694,1.57733203
0.02190592,0.04133776,0.90554153,0.10549893,0.03694484,0.02480458,0.17535264,1.66212715
0.02125874,0.04879024,1.03721891,0.12419178,0.03504847,0.02482783,0.3064026,2.46717293
0.01773756,0.03678798,0.65252916,0.12239045,0.02559963,0.01729705,0.25087062,2.04975645
0.04743214,0.01698483,0.8056269,0.0636873,0.03013502,0.02393843,0.16870589,2.64897223
0.0355738,0.02555824,0.90920372,0.04831024,0.03187025,0.02454376,0.18643233,3.85906415
0.01458378,0.07095677,1.03481822,0.29323923,0.02994996,0.02427366,0.20047128,0.68364415
0.02690479,0.02584759,0.69542415,0.1160775,0.0339274,0.02011118,0.15922744,1.37173383
0.05851018,0.03398243,1.98831818,0.05840371,0.01658191,0.01354979,0.15366476,2.63107857
0.0265364,0.03765749,0.99929409,0.10721657,0.03125494,0.02429769,0.12074843,1.12621054
