% 1. Training data set for poor performence

@RELATION poor_perf

@ATTRIBUTE ctr real
@ATTRIBUTE cpc real
@ATTRIBUTE install_per_click real
@ATTRIBUTE uv_per_click real
@ATTRIBUTE add_per_click real
@ATTRIBUTE wishlist_per_click real
@ATTRIBUTE order_per_click real
@ATTRIBUTE 'Class' {yes,no}

@data
0.016627,0.04810912,0.09379895,0.33939556,0.0327592,0.02409096,0.03658674,yes
0.01822116,0.04761937,0.09206457,0.33897158,0.03165098,0.03236384,0.03378956,yes
0.01998759,0.0332467,0.09348145,0.23255083,0.02373441,0.01787592,0.01592309,yes
0.00986118,0.07159846,0.04823077,0.16984615,0.01449275,0.01947464,0.02807971,yes
0.02766701,0.03186475,0.07461304,0.2844019,0.02225841,0.02117264,0.01913681,yes
0.02696429,0.03946965,0.04306891,0.19661458,0.01400917,0.0104432,0.0188487,yes
0.02945697,0.03487762,0.0466373,0.16888425,0.02581339,0.01183114,0.01505781,yes
0.01197954,0.06382143,0.21467643,0.31961626,0.0450237,0.04318062,0.02448657,yes
0.00787991,0.08897517,0.32427344,0.38710437,0.02796353,0.01823708,0.02431611,yes
0.01127601,0.07036028,0.16748768,0.3186516,0.04274022,0.04395271,0.02061231,yes
0.03063796,0.02552738,0.07710065,0.23105334,0.02659084,0.01245005,0.01214264,yes
0.02834602,0.02442872,0.07747533,0.27941477,0.0230151,0.01911836,0.01327326,yes
0.01058969,0.06001229,0.03766462,0.17480246,0.02410849,0.01858363,0.02812657,yes
0.01335148,0.04471422,0.05556659,0.20332472,0.01270358,0.02117264,0.03843648,yes
0.01089772,0.05956518,0.0449876,0.17676231,0.02655311,0.02354709,0.03306613,yes
0.02015305,0.04436277,0.10024122,0.35627178,0.03028023,0.02463795,0.03404175,yes
0.0116521,0.06525068,0.18228589,0.33239181,0.04643399,0.03156297,0.02822458,yes
0.00651928,0.13173175,0.04159593,0.13348896,0.01748808,0.00953895,0.03656598,yes
0.00673956,0.12619037,0.04322828,0.1213799,0.02280702,0.02280702,0.03333333,yes
0.00677517,0.11579177,0.03820269,0.13994458,0.03394625,0.00707214,0.02828854,yes
0.03302945,0.02064104,0.02811767,0.0578235,0.00811486,0.00749064,0.01373283,yes
0.01815481,0.05317864,0.05637872,0.51281334,0.02507723,0.00817736,0.02235144,no
0.03199707,0.03231984,0.04993137,0.22815145,0.02657308,0.00927551,0.01554274,yes
0.01944171,0.03733924,0.03982271,0.25386976,0.01020682,0.00564061,0.02256245,yes
0.00879277,0.10309533,0.33025622,0.33402411,0.03158488,0.02538071,0.0321489,yes
0.03306747,0.03397107,0.031025,0.25179997,0.02859371,0.01585651,0.00987783,yes
0.01413247,0.05538061,0.10424585,0.24302313,0.02323503,0.01340483,0.03217158,yes
0.01295659,0.04245771,0.06565064,0.20373472,0.02219482,0.01726264,0.04397863,yes
0.01100343,0.06633041,0.04027113,0.19138756,0.01805556,0.02152778,0.03055556,yes
0.00881359,0.06745514,0.03807698,0.17518148,0.01641908,0.01485536,0.02814699,yes
0.02734027,0.03155485,0.03810578,0.30132882,0.0155642,0.00907912,0.01923908,yes
0.02199321,0.04381707,0.05712946,0.38930582,0.02843373,0.01807229,0.02746988,no
0.00681436,0.11032097,0.04208274,0.12434617,0.0210325,0.01338432,0.0248566,yes
0.02054217,0.03105677,0.03574068,0.21195835,0.03264659,0.01838352,0.022187,yes
0.0096106,0.06761318,0.03503043,0.18509722,0.02325581,0.03207698,0.02405774,yes
0.01945567,0.03996126,0.05026851,0.18778061,0.01265823,0.00937647,0.02766057,yes
0.03751415,0.02359193,0.03776268,0.18038658,0.00992701,0.00525547,0.01430657,yes
0.01358155,0.16215814,0.10482408,0.14327167,0.03797468,0.01012658,0,yes
0.02041739,0.03485182,0.04390891,0.28786461,0.01192089,0.00758602,0.02194527,yes
0.01837572,0.15289148,0.08997253,0.17479396,0.02750491,0.00589391,0.00392927,yes
0.01352992,0.03735587,0.07463967,0.22306108,0.01846154,0.01230769,0.04076923,yes
0.00840055,0.0800866,0.04551317,0.14519993,0.02030457,0.02284264,0.02411168,yes
0.00897467,0.0675316,0.03900765,0.18645655,0.03179916,0.02594142,0.0334728,yes
0.02382369,0.02170211,0.04498495,0.0949348,0.00633914,0.00369783,0.0375066,yes
0.0086466,0.07263016,0.0443134,0.20353833,0.02483444,0.02483444,0.03725166,yes
0.01590486,0.04803523,0.07529174,0.18289946,0.01104294,0.01042945,0.03558282,yes
0.03203716,0.01983916,0.05124911,0.14637164,0.02210663,0.0130039,0.01788036,yes
0.01318421,0.16963205,0.06009812,0.10220769,0.052,0.016,0.008,yes
0.02690306,0.04242086,0.04748603,0.34957583,0.05149453,0.01923646,0.01923646,yes
0.01656071,0.05332682,0.07307542,0.37905432,0.01958763,0.01099656,0.03676976,no
0.00874442,0.12128476,0.05496964,0.10035155,0.05414013,0.00636943,0,yes
0.01633973,0.24719138,0.06923579,0.15545395,0.06722689,0.01680672,0.00840336,yes
0.01986342,0.06643627,0.11274686,0.78078995,0.03449069,0.03288112,0.03242125,no
0.02222304,0.02158279,0.03743599,0.07510742,0.00470219,0.0039185,0.02978056,yes
0.02229278,0.03468287,0.07434485,0.22768705,0.02126772,0.00333611,0.02752294,yes
0.02779816,0.02635259,0.07202256,0.07173331,0.01209677,0.00604839,0.02520161,yes
0.01986413,0.03811942,0.11029489,0.48284185,0.02803738,0.01673549,0.03673115,no
0.03149838,0.02061713,0.03403263,0.08933566,0.00717547,0.00326158,0.01043705,yes
0.03231876,0.02246561,0.07401274,0.28757962,0.02192691,0.0179402,0.01085271,yes
0.01603779,0.03090286,0.04927103,0.20437379,0.00773528,0.00773528,0.02578427,yes
0.00797969,0.12720059,0.05487579,0.07193178,0.05154639,0.01546392,0,yes
0.0181536,0.0492342,0.13214337,0.57175759,0.03751259,0.02089627,0.03096677,no
0.0106596,0.07658728,0.191867,0.40507751,0.04603439,0.0338325,0.02551303,yes
